aardvark|anteater,placental
divers|different,diverse
diverse|different,divers,various
diversely|multifariously,variously
diverticulitis|inflammation,redness
diviner|illusionist,seer,visionary
divisible|dividable,separable
divisive|discordant,factious
divisor|factor,integer,number
divorced|single,unmarried
divorcement|divorce,separation
dizziness|giddiness,symptom,vertigo
do-gooder|benefactor,helper,humanitarian
doc|doctor,physician
docent|instructor,teacher
docility|flexibility,tractability
doctoral|degree,scholar,student
doctrine|belief,ism,philosophy
doddering|gaga,old,senile
doggerel|jingle,rhyme,verse
dogleg|angle,hole
dogmatism|bigotry,intolerance
dogmatist|doctrinaire,partisan,zealot
dogtrot|jog,lope,trot
doings|activity,behavior,conduct
doleful|mournful,sad
dolefulness|sadness,unhappiness
dollhouse|house,plaything,toy
dolomite|mineral,rock,stone
dolor|grief,heartache,heartbreak
doltish|cloddish,stupid
domed|rounded,vaulted
domesticated|domestic,tame
domesticity|activity,quality
domiciliary|housing,lodging
donate|gift,give,present
donation|contribution,gift,giving
done|cooked,finished,through
donkey|allegory,ass,emblem
donut|doughnut,friedcake,sinker
door-to-door|comprehensive,direct
doorstep|sill,threshold
doorstop|catch,stop
dooryard|grounds,yard
dork|jerk,misfit
dory|dinghy,rowboat,walleye
dotage|age,senility,years
doting|adoring,fond,loving
double-space|type,typewrite
doubles|badminton,tennis
doublespeak|equivocation,evasion
doubly|double,twice
doughy|heavy,soggy
dourly|glumly,sullenly
dovish|pacifist,pacifistic,peaceful
dowdiness|drabness,homeliness,inelegance
dowel|fastener,fastening,joggle
down-and-out|have-not,unsuccessful
down-to-earth|earthy,realistic
downbeat|beat,rhythm
downheartedness|lowness,sadness,unhappiness
downswing|downturn,swing
downward|down,downwards
downwards|down,downward
downwind|lee,leeward,windward
dowry|dower,gift,portion
dowser|diviner,stick
doxology|anthem,hymn
doyen|dean,elder,senior
doyenne|elder,senior
dozen|cardinal,twelve
drabness|dowdiness,homeliness,inelegance
draconian|lawgiver,lawmaker
drafter|author,writer
draftsman|artist,drawer
draftsmanship|art,drafting,drawing
dragon|constellation,tartar
drainage|drain,evacuation
drainpipe|drain,pipe,piping
drake|admiral,duck,navigator
dramatics|communication,theater,theatre
dramatist|author,playwright,writer
drawbridge|bridge,span
drawer|artist,container,draftsman
drawstring|string,tie
dreadfully|awfully,dismally,horribly
dreadfulness|awfulness,terribleness,unpleasantness
dreaminess|easiness,languor,relaxation
dreamlike|surreal,unreal
dreariness|dullness,insipidity
dredger|barge,flatboat,lighter
dregs|deposit,grounds,sediment
drenching|soaking,souse
dressed|clad,finished,polished
dressmaker|seamstress,sempstress
dressmaking|craft,trade
drew|actor,player,thespian
dried|dehydrated,dry
drier|appliance,desiccant,dryer
drily|dryly,laconically
drinker|consumer,imbiber,juicer
drive-in|facility,installation
driveway|drive,road,route
drizzly|drippy,wet
dropkick|boot,kick
droplet|driblet,drop
dropout|individualist,quitter
drought|dryness,period
drover|hand,herder,herdsman
drowsiness|sleepiness,somnolence
drowsy|asleep,inattentive
drugstore|pharmacy,shop,store
druidism|heathenism,paganism
dryer|appliance,drier
dryly|drily,laconically
drywall|board,wallboard
dualism|doctrine,ism,philosophy
dubiously|doubtfully,questionably
ducal|noble,nobleman
duchess|noblewoman,peeress
duckbill|beaked,platypus
ductility|malleability,plasticity
ductless|passage,passageway
dudgeon|indignation,outrage
duenna|chaperon,chaperone
duke|noble,nobleman,peer
dumbly|densely,obtusely
dumbness|denseness,stupidity
dumbwaiter|elevator,lift
dumdum|bullet,slug
dumpiness|build,physique
dumpling|dessert,pasta,sweet
duodecimal|quantitative,twelfth
duple|double,dual,multiple
duplication|copy,duplicate
duplicator|apparatus,copier,setup
durability|permanence,permanency,strength
durance|captivity,imprisonment,incarceration
dustiness|dirtiness,uncleanness
dutch|country,land,nation
duteous|dutiful,obedient
dutiable|nonexempt,taxable
dutiful|duteous,obedient
dutifulness|piety,piousness
duty-free|exempt,nontaxable
dwarfish|little,small
dwindling|decrease,decreasing,drop-off
dye|color,discolor,dyestuff
dyestuff|color,dye
dynamics|kinetics,mechanics
dynamite|detonate,explode
dynamiter|revolutionary,revolutionist,subversive
dyslexic|dyslectic,impaired
dyspepsia|indigestion,symptom
e'er|always,ever
each|all,apiece
eagle-eyed|farseeing,farsighted
eardrum|membrane,tympanum
eared|lop-eared,worn
earphone|headphone,phone
earshot|hearing,range,reach
earthen|material,stuff
earthling|denizen,dweller,inhabitant
earthshaking|important,loud,significant
earthwork|bulwark,rampart,wall
earthworm|angleworm,crawler,wiggler
easily|easy,well
eastbound|east,eastward
easterly|east,eastern,wind
easterner|denizen,dweller,inhabitant
eastward|east,eastbound,eastwards
eater|consumer,feeder,produce
ebullient|exuberant,high-spirited,spirited
ebulliently|expansively,exuberantly
ecclesiastical|ecclesiastic,faith,religion
echelon|force,grating
echoic|imitative,onomatopoeic,onomatopoetic
echolocation|fix,localization,location
eclectic|discriminating,philosopher
eclogue|bucolic,idyll,pastoral
ecological|biology,environment
ecology|biology,environment
ecosystem|scheme,system
ed|dysfunction,impotence,impotency
edged|cutting,sharp,unkind
edibility|edibleness,property
edibleness|edibility,property
edification|enlightenment,sophistication
edifice|building,construction,structure
editorial|article,column
editorialize|animadvert,opine
educator|pedagogue,professional
edutainment|amusement,entertainment
eeriness|ghostliness,strangeness,unfamiliarity
eery|eerie,strange,unusual
effacement|self-effacement,withdrawal
effectiveness|potency,power,strength
effeminacy|femininity,softness
efferent|centrifugal,motor,nerve
effervescence|action,activity,frothiness
effete|decadent,indulgent
efficiency|ratio,skillfulness
effigy|image,representation
effluence|flow,outflow
effluent|outgoing,waste
effluvium|discharge,emission
effulgent|bright,radiant,refulgent
effuse|emanate,emit,pour
egalitarian|classless,democratic,moralist
egalitarianism|doctrine,ism,philosophy
egghead|intellect,intellectual
eggshell|cover,covering,shell
egoist|egocentric,egotist,swellhead
egomaniac|egoist,egotist,swellhead
egotist|egoist,swellhead
eighteenth|ordinal,rank
eighth|ordinal,rank
eightieth|ordinal,rank
eighty|cardinal,fourscore
elderberry|drupe,elder
elector|citizen,prince,voter
electorate|citizenry,people
electrician|lineman,linesman
electricity|energy,stir
electrification|activation,development,exploitation
electrifying|exciting,thrilling
electrocardiogram|cardiogram,graph
electrocute|fry,kill
electromagnetism|magnetism,physics
electroplate|artefact,artifact,plate
elegiac|poem,sorrowful
elegy|lament,poem
elephant|allegory,emblem
elevated|overhead,railroad,railway
elevator|airfoil,lift,surface
eleventh|ordinal,rank
elfish|elfin,playful
elide|except,exclude,omit
eligibility|making,qualification
elk|deer,moose
ell|annex,extension,wing
ellipse|conic,oval
ellipsis|deletion,omission
ellipsoid|ellipsoidal,rounded,spheroidal
ellipsoidal|ellipsoid,rounded,spheroidal
elm|tree,wood
elocution|delivery,speech
elocutionist|orator,rhetorician
elongation|add-on,addition,extension
elope|flee,fly
eloquence|fluency,smoothness,style
em|mutton,pica
emancipate|liberate,manumit,turn
emancipated|free,liberated
emancipation|liberation,release
emasculation|castration,effeminacy,softness
embalm|conserve,maintain,preserve
embalmer|mortician,undertaker
embank|confine,enclose
embankment|hill,mound
embarkation|boarding,departure,going
ember|coal,fragment
embitter|acerbate,envenom
embolism|interval,occlusion
embouchure|aperture,mouthpiece
embower|bower,enclose,inclose
embrasure|opening,port,porthole
embrocation|application,liniment,lotion
embroilment|imbroglio,situation
embryonic|early,immature
emcee|entertainer,host
emendation|correction,rectification
emergent|nascent,sudden
emeritus|old,retired,retiree
emigrant|emigre,migrant
emigrate|migrate,transmigrate
emigration|expatriation,migration
emigre|emigrant,migrant
emissary|envoy,representative
emote|act,play,represent
empathize|sympathize,understand
emperor|monarch,sovereign
emphatically|decidedly,definitely,unquestionably
empiricism|investigation,quackery,sensationalism
empowerment|authorization,direction,management
empty-handed|empty,unrewarded,unsuccessful
emulsion|coat,coating,colloid
enable|alter,change,modify
encapsulation|condition,process,status
encase|case,enclose,inclose
encasement|enclosure,envelopment,inclosure
encephalitis|inflammation,redness
enchain|confine,hold,restrain
encirclement|action,blockade
enclave|district,dominion,territory
encyclical|letter,missive
endear|delight,please
endearment|benignity,kindness
endive|escarole,herb
endlessness|duration,length
endmost|last,terminal
endocrine|gland,hormone,secretion
endoscopic|examination,scrutiny
endoscopy|examination,scrutiny
endpoint|end,termination,terminus
endurable|bearable,supportable,tolerable
enfeeble|debilitate,drain,weaken
enfeeblement|debilitation,enervation,exhaustion
enfilade|gunfire,gunshot,rake
engaging|attractive,piquant
engine|cause,locomotive,motor
engorged|congested,full
engraving|etching,plate,print
enhancement|improvement,sweetening
enigmatically|cryptically,mysteriously
enjambment|inflection,prosody
enjoyable|gratifying,pleasant,pleasurable
enjoyably|agreeably,pleasantly
enlightening|edifying,illuminating,informative
ennoblement|condition,promotion,status
ennui|boredom,dissatisfaction,tedium
enormous|big,large,tremendous
enormously|hugely,staggeringly,tremendously
enplane|embark,ship
enraged|angry,furious,infuriated
enrichment|gift,improvement
ensilage|feed,provender,silage
enslave|subject,subjugate
ensue|prove,result
entailment|deduction,implication,inference
entanglement|trap,web
enteritis|inflammation,redness
entertaining|amusing,fun
entertainment|amusement,diversion,recreation
entirety|completeness,totality
entitlement|claim,title
entombment|burial,funeral,interment
entr'acte|interlude,intermezzo,show
entrails|innards,viscera,viscus
entrancement|delectation,delight,ravishment
entrapment|defense,demurrer,denial
entreatingly|beseechingly,imploringly,importunately
entreaty|appeal,prayer,request
entrenchment|fortification,munition
entrepreneur|bourgeois,businessperson
entrepreneurial|bourgeois,businessperson,enterprising
entropy|information,randomness
enumerable|calculable,countable,numerable
enumerator|functionary,official
enunciation|articulation,diction
enviously|covetously,jealously
environmental|biology,situation
environmentalism|preservation,saving
environmentalist|conservationist,crusader,reformer
enzymatic|accelerator,catalyst,protein
enzyme|accelerator,catalyst,protein
eon|aeon,age,years
epaulet|adornment,epaulette
epaulette|adornment,epaulet
epidermis|cuticle,stratum
epigrammatic|aphoristic,concise
episcopacy|episcopate,people
episcopal|pontifical,priest
epistle|book,letter,missive
epitomize|represent,symbolize,typify
epoch|date,era,period
epochal|important,significant
epoxy|glue,paste
equally|as,evenly
equilateral|equal,figure
equipment|instrumentality,instrumentation
equitable|evenhanded,just
equitation|athletics,riding,sport
equivocate|misinform,mislead,prevaricate
equivocator|hedger,respondent
eradicable|erasable,removable
eradication|demolition,destruction,obliteration
eradicator|exterminator,killer,slayer
erectness|position,stance,uprightness
ergonomic|engineering,technology
ergonomics|biotechnology,engineering,technology
ermine|fur,pelt,weasel
erotic|sensualist,sexy,titillating
eroticism|amorousness,concupiscence,sexiness
errant|fallible,uncontrolled
erroneous|inaccurate,incorrect,wrong
erst|erstwhile,formerly,once
erudite|learned,scholarly
erudition|education,learning,scholarship
eruptive|active,igneous,symptom
escalate|increase,intensify
escalation|increase,step-up
escaped|free,loose
escapism|diversion,escape,recreation
escapist|daydreamer,dreamer
escargot|meat,snail
eschew|avoid,shun
escritoire|desk,secretary
esophageal|musculature,passage,passageway
especially|particularly,peculiarly,specially
esplanade|mall,promenade
espresso|coffee,java
esquire|attendant,man,tender
essayist|author,writer
essentially|basically,fundamentally
esthete|aesthete,cognoscenti,connoisseur
esthetics|aesthetics,philosophy
estimator|calculator,computer,expert
estranged|alienated,unloved
estrus|heat,rut
eternally|everlastingly,evermore,forever
ethane|hydrocarbon,paraffin
ether|element,medium,quintessence
ethic|principle,system
ethnocentric|partiality,partisanship
ethnocentrism|partiality,partisanship
etiologic|cause,etiological,philosophy
etiological|cause,etiologic,philosophy
etiology|cause,philosophy
etiquette|prescript,rule
etude|composition,opus,piece
eucalyptus|gum,wood
eulogist|orator,rhetorician
eulogistic|complimentary,panegyric
eunuch|castrate,man
euphemism|expression,locution,saying
euphonious|golden,silvery,soft
euphony|music,sound
euphoria|elation,lightness
euphoric|elated,expansive,happy
euthanasia|kill,killing
evanescent|impermanent,temporary
evangelical|enthusiastic,evangelistic
evangelism|discourse,sermon
evangelist|preacher,revivalist
evangelize|convert,preach,prophesy
evenhanded|equitable,just
evenhandedly|fair,fairly
evensong|prayer,vespers
eventful|consequential,important,lively
eventuality|contingency,happening,occurrence
eventually|finally,yet
ever|always,e'er
everlastingly|eternally,evermore,forever
evict|eject,exclude,expel
eviction|coercion,compulsion,dispossession
evildoer|offender,sinner,wrongdoer
evildoing|misconduct,transgression,wrongdoing
evilness|evil,immorality
evolution|development,phylogeny,process
ewer|pitcher,vessel
exacerbation|aggravation,exasperation,intensification
exactitude|accuracy,exactness,truth
exactly|incisively,just,precisely
exactness|accuracy,exactitude,truth
exam|communication,examination,test
exceedingly|extremely,passing
excellent|first-class,superior
excelsior|packing,wadding
exceptionable|objectionable,unacceptable
excessively|overly,too
exchequer|finances,funds,treasury
exclamation|complaint,utterance,vocalization
exclamatory|emphatic,forceful
excrement|excreta,excretion,waste
excrescent|illness,malady,sickness
excreta|excrement,excretion,waste
excretory|discharge,emission
executioner|killer,slayer
exegetic|exegetical,interpretation
exegetical|exegetic,interpretation
exemplar|example,ideal,model
exhalation|breath,expiration
exhausting|debilitating,tiring,wearing
exhaustive|complete,thorough,thoroughgoing
exhilarating|exciting,invigorating,stimulating
exhume|disinter,excavate
exigency|crisis,emergency,pinch
exiguous|meager,meagerly,stingy
existential|empirical,state
exoskeleton|frame,skeleton
exoticism|curiousness,strangeness
expandable|elastic,expansible,expansive
expansible|elastic,expandable,expansive
expansionism|doctrine,ism,philosophy
expansionist|doctrine,ism,philosophy
expansively|ebulliently,exuberantly
expatiation|elaboration,enlargement,expansion
expectorant|medicament,medication,medicine
expediency|advantage,expedience,vantage
expeditious|efficient,prompt
expensiveness|cost,price
expertise|expertness,skillfulness
expertness|expertise,skillfulness
expiatory|propitiatory,redemption,salvation
explanatory|informative,instructive
explicable|comprehensible,explainable,soluble
explication|account,explanation
exporter|bourgeois,businessperson
expositor|expounder,intellect,intellectual
expository|informative,instructive
expostulate|argue,reason
expounder|expositor,intellect,intellectual
expressionist|artist,expressionistic
expropriate|deprive,divest,strip
expropriation|arrogation,confiscation
expurgation|castration,deletion
exquisitely|delicately,fine,finely
extant|existent,existing,living
extemporization|improvisation,performance
extendable|extendible,long
extendible|extendable,long
extensiveness|largeness,magnitude
exterminator|eradicator,killer,slayer
externalization|ascription,attribution
extinct|dead,nonexistent,out
extortion|exaction,felony,overcharge
extradite|deliver,deport,expel
extralegal|illegal,nonlegal
extramarital|adulterous,extracurricular,illicit
extramural|intercollegiate,interscholastic,outside
extrasensory|clairvoyant,paranormal,telepathic
extravaganza|amusement,entertainment
extremist|immoderate,radical,ultra
extrication|disentanglement,liberation,release
extrude|create,make,produce
exuberantly|ebulliently,expansively,riotously
eyebrow|brow,hair
eyeglass|lens,monocle
eyeglasses|glasses,specs,spectacles
eyelash|cilium,hair,lash
eyeless|blind,sightless,unseeing
eyepiece|lens,ocular
eyesight|seeing,sight,vision
eyestrain|fatigue,tiredness,weariness
eyetooth|canine,cuspid,tooth
eyewash|application,lotion
eyrie|aerie,habitation
fabled|legendary,unreal
face-to-face|opposite,personal
facet|aspect,characteristic,feature
facetious|humorous,tongue-in-cheek
facetiously|jokingly,tongue-in-cheek
facetiousness|fun,playfulness
facial|skincare,surface
fact-finding|inquiring,investigative,investigatory
factious|discordant,divisive
factitious|artificial,unreal
factoid|info,information
factory|mill,plant,works
factotum|retainer,servant
faddish|fashionable,stylish
fagoting|embroidery,fancywork
fail-safe|mechanism,safe,secure
fair-minded|fair,just
fairground|parcel,tract
fairyland|faerie,fantasy,phantasy
faithfully|dependably,reliably
faithfulness|fidelity,quality
faithlessly|traitorously,treacherously
fakir|angel,saint
falcon|hawk,hunt,run
falconer|hawker,hunter,huntsman
falconry|art,artistry,prowess
fallen|dead,down,unchaste
falls|water,waterfall
falsetto|high,high-pitched
falteringly|uncertainly,unsteadily
familiarize|acquaint,inform
famished|hungry,ravenous
famously|magnificently,splendidly
fanaticism|intolerance,zealotry
fancier|admirer,adorer,enthusiast
fancywork|embroidery,needlework
fanlight|skylight,transom,window
fantasia|composition,opus,piece
fantasize|envisage,fantasy,imagine
far-flung|distant,widespread
far-off|far,faraway
faraway|distant,far,far-off
farcical|humorous,ludicrous,ridiculous
farfetched|implausible,unlikely
farmer|cook,creator,husbandman
farmstead|farm,land
farsightedness|foresight,knowing
fart|flatus,reflex,wind
farther|far,further
fascicle|installment,instalment
fascistic|fascist,ideology
fatalist|determinism,fatalistic
fatalistic|determinism,fatalist
fatality|deadliness,death,decease
fated|certain,doomed,sure
father-in-law|father,in-law
fatherly|loving,paternal
fatness|avoirdupois,blubber,fat
fatwa|opinion,ruling
faucet|regulator,spigot
faultiness|defectiveness,imperfection,imperfectness
faultless|immaculate,impeccable,perfect
faultlessness|correctness,impeccability
faulty|defective,imperfect,inaccurate
fax|copier,duplicator,facsimile
fay|faerie,fairy,sprite
fealty|allegiance,loyalty
fearlessly|dauntlessly,intrepidly
featherbedding|pattern,practice
feathered|feathery,plumed,plumy
feathery|feathered,plumy
febrile|feverish,symptom
fecal|dirty,unclean
feckless|incompetent,inept,irresponsible
fecund|fertile,productive,prolific
federalization|coalition,control,fusion
feedlot|building,edifice
feelings|sensitiveness,sensitivity
felicitate|bid,congratulate,wish
felicitation|congratulation,expression
felicity|appropriateness,happiness,spirit
feline|carnivore,feline
felonious|criminal,illegal
femaleness|gender,sex,sexuality
fen|marsh,marshland,wetland
feral|savage,untamed,wild
ferric|ferrous,metal
ferrous|ferric,metal
ferryboat|boat,ferry
ferryman|boater,boatman
festivity|celebration,diversion,recreation
fetching|attractive,taking,winning
fettle|fitness,remove
fetus|foetus,vertebrate
feudal|feudalistic,structure
feudalistic|feudal,structure
feverishness|fever,symptom
few|elite,some
fewness|figure,number
fez|cap,city,metropolis
fiasco|collapse,debacle
fiberboard|drywall,wallboard
fibril|fiber,filament,strand
fibrillate|jerk,twitch
fibrillation|fork,ramification,twitch
fictional|fictitious,made-up,unreal
fidget|agitation,move,restlessness
fief|demesne,estate,land
fielder|ballplayer,cricketer
fieldwork|fortification,munition
fieldworker|investigator,researcher
fiendishly|devilishly,diabolically
fiesta|feast,fete,party
fifteenth|ordinal,rank
fifth|interval,ordinal,rank
fiftieth|ordinal,rank
fifty-fifty|equal,even
fig|figure,illustration
figment|idea,thought
figuration|decoration,representation
figurine|figure,statuette
filamentous|thin,threadlike,thready
filbert|cob,hazel,hazelnut
filer|clerk,litigant,litigator
filial|daughterly,relation,relative
filibusterer|delayer,filibuster,legislator
filigree|craft,embellishment
filler|copy,object,tobacco
filly|female,foal
filtration|action,activity,change
finality|conclusiveness,decisiveness,definiteness
finalize|end,settle,terminate
finances|assets,funds
financial|business,fiscal
financier|capitalist,operate,run
financing|finance,funding
finely|delicately,exquisitely,fine
finery|attire,dress,garb
finial|decoration,ornament,ornamentation
fiord|fjord,inlet,recess
fir|conifer,wood
firearm|gun,piece
firebomb|bomb,bombard,incendiary
firecracker|cracker,firework,pyrotechnic
fireplace|hearth,niche,recess
fireplug|hydrant,plug
firepower|posture,strength
fireproof|incombustible,noncombustible,proof
firetrap|building,edifice
firewall|drive,thrust,wall
firewater|booze,liquor,spirits
first-class|excellent,superior
first-string|primary,regular
firstly|first,foremost
firth|estuary,linguist
fiscal|business,financial
fishbowl|aquarium,bowl,situation
fisher|fisherman,marten
fishery|work,workplace
fishpond|pond,pool
fist|hand,mitt,paw
fistula|passage,passageway,sinus
fistulous|hollow,passage,passageway
fitful|broken,spasmodic,sporadic
fitfulness|irregularity,jerkiness
fitter|better,tailor
fixative|fixer,varnish
fjord|fiord,inlet,recess
flabbergast|boggle,surprise
flabbiness|flaccidity,limpness,softness
flabby|flaccid,soft,unfit
flaccidity|flabbiness,limpness,softness
flagpole|flagstaff,staff
flagship|ship,thing
flagstaff|flagpole,staff,town
flamboyantly|flashily,showily
flameproof|incombustible,noncombustible
flamethrower|arm,weapon
flammability|combustibility,inflammability
flammable|combustible,inflammable
flan|dessert,sweet
flange|projection,rim
flank|formation,lie,wing
flanker|back,soldier
flapper|girl,miss
flashback|recurrence,return,transition
flashbulb|flash,flashgun,lamp
flashgun|flash,flashbulb,lamp
flashily|flamboyantly,meretriciously,showily
flashing|bright,experience,flash
flatbed|flat,flatcar
flatboat|barge,boat,lighter
flatcar|flat,flatbed
flatly|categorically,unconditionally
flatter|blandish,praise
flatterer|adulator,follower
flattering|adulatory,becoming,ingratiating
flattop|carrier,haircut,warship
flatus|fart,reflex,wind
flatware|silver,silverware,tableware
flavorful|flavorsome,tasty
flavoring|fixings,ingredient,seasoning
flavorsome|flavorful,tasty
flawed|blemished,imperfect
flawlessness|perfection,state
flaxen|blond,blonde,sandy
flay|pare,peel,skin
fleecy|brushed,napped,soft
fleeting|fugitive,momentary,short
fleetingness|transience,transiency
fleshy|fat,heavy,overweight
flibbertigibbet|fool,sap
flimsiness|shoddiness,weakness
flippant|frivolous,light-minded
flipper|fin,limb,shoe
flirtatious|coquettish,sexy
floodgate|regulator,restraint
floodplain|field,plain
floorboard|board,floor,flooring
flooring|floor,level
floret|bloom,blossom,flower
flossy|downy,fluffy,soft
flotsam|jetsam,wreckage
flour|convert,dredge,foodstuff
flouter|mocker,scoffer
flowered|floral,patterned
flowerpot|container,pot
flowery|angiosperm,ornate,rhetorical
flu|contagion,grippe,influenza
fluffy|downy,flossy,soft
fluorescent|colorful,light
fluoridate|process,treat
fluorine|element,gas,halogen
fluting|channel,flute,groove
flyleaf|folio,leaf
flyswatter|implement,swatter
flyway|itinerary,path,route
flyweight|boxer,pugilist,wrestler
fo'c'sle|forecastle,quarters
focal|central,point
fodder|feed,give,provender
foetus|fetus,vertebrate
foghorn|alarm,alert,horn
foliage|leaf,leafage
folksy|homespun,informal,rural
follicle|cyst,vesicle
fondle|caress,stroke
fontanel|opening,orifice
foodstuff|food,grocery,nutrient
foolhardiness|rashness,recklessness,thoughtlessness
foolproof|infallible,proof,unfailing
footage|film,rate
footbridge|bridge,span
footed|web-footed,web-toed
footfall|footstep,sound,step
footlocker|locker,trunk
footpath|path,pathway
footrace|race,run
footrest|footstool,ottoman,stool
footstool|footrest,ottoman,stool
footwork|maneuver,play
foppish|dandified,elegant
forbearance|delay,holdup,patience
force-feed|feed,give
forcible|forceful,physical,strong-arm
fore-and-aft|lengthways,lengthwise
forecastle|fo'c'sle,quarters
foreclosure|proceeding,proceedings
foredoom|condemn,doom,sentence
forefinger|finger,index
forehead|brow,feature,lineament
foreknow|anticipate,foresee,know
foreknowledge|clairvoyance,precognition
forenoon|morn,morning,period
foreordain|predestine,predetermine,preordain
forepart|face,front,side
foreplay|arousal,sex,stimulation
foresightedness|foresight,providence
foreskin|prepuce,skin
foretaste|expectation,outlook,prospect
forewoman|foreperson,supervisor
foreword|introduction,preface
forgetfulness|amnesia,blackout,unawareness
forgivable|excusable,pardonable,venial
forgiving|exculpatory,kind,tolerant
formalization|rationalization,systematization
formatting|format,info,information
formerly|erst,erstwhile,once
formless|amorphous,shapeless,unformed
fornicator|adulterer,debauchee,libertine
forsythia|bush,shrub
forthrightly|forthright,squarely
fortieth|ordinal,rank
fortnightly|biweekly,period
fortress|defense,fort
fortuitous|causeless,fortunate,unintended
fortuitously|fortunately,luckily
fortuitousness|precariousness,uncertainty
fortuity|accident,happening,occurrence
fortunately|fortuitously,luckily
fortunetelling|prediction,prognostication
forty-five|cardinal,handgun,pistol
foundling|babe,baby,infant
foundry|factory,mill
four-footed|quadruped,quadrupedal
fourfold|multiple,quadruple,quadruplicate
fourscore|cardinal,eighty
fourteenth|ordinal,rank
foxglove|digitalis,herb
foxhole|bunker,dugout
fractal|form,pattern,shape
fractiously|peevishly,querulously
fractiousness|intractability,unruliness,willfulness
fragmented|disconnected,split
frame-up|falsehood,falsification,setup
framer|author,writer
frangibility|fragility,vulnerability
frankincense|gum,thus
frankly|candidly,honestly
fraternal|brotherly,class
fraught|full,pregnant,troubled
freakishness|abnormality,strangeness,unfamiliarity
freebee|freebie,gift
freebie|freebee,gift
freedom|exemption,immunity,state
freeholder|landholder,landowner
freestanding|detached,separate
freeware|package,software
freeze-dry|keep,preserve
freezer|deep-freeze,fridge
freezing|chilling,freeze
freighter|bottom,merchantman
frenetic|agitated,frantic,frenzied
frequency|cardinal,rate,ratio
frequenter|client,customer,patron
fresco|mural,paint,painting
freshet|flow,flowing,spate
fretsaw|jigsaw,saw
fretted|bar,latticed
friar|mendicant,religious
fricassee|cook,stew
fricative|sibilant,soft,strident
fridge|icebox,refrigerator
fried|cooked,deep-fried
friendless|outcast,unwanted
friendliness|disposition,liking,temperament
fries|potato,spud,tater
frightfully|awful,awfully,terribly
frightfulness|awfulness,dreadfulness,terribleness
friskiness|fun,playfulness
frisky|kittenish,playful
frivolousness|frivolity,trait
frogman|adventurer,diver,explorer
frond|foliage,leaf,leafage
frontiersman|backwoodsman,pioneer
frontward|forward,forwards,frontwards
frontwards|forward,forwards,frontward
frosting|ice,icing,topping
frowzy|slovenly,untidy
fruitfully|productively,profitably
fruitlessly|unproductively,unprofitably
fruitlessness|aridity,barrenness,quality
frumpish|dowdy,frumpy,unfashionable
frumpy|dowdy,frumpish,unfashionable
frustrated|disappointed,unsuccessful
frustrating|discouraging,preventative,preventive
fryer|chicken,pullet
fuchsia|bush,magenta,shrub
fuddy-duddy|bore,dullard
fulcrum|pin,pivot
fulfillment|consummation,satisfaction
full-blown|complete,mature
full-fledged|experienced,mature
full-scale|all-out,complete
fullback|back,play
fully|amply,full
fumes|exhaust,gas,waste
fumigate|fume,process,treat
fumigation|application,coating,covering
fundamentally|basically,essentially
funds|assets,finances
funeral|ceremonial,ceremony,observance
funerary|ceremonial,ceremony,observance
funereal|joyless,sepulchral
fungal|flora,fungous,plant
fungi|kingdom,spender,spendthrift
fungible|commodity,exchangeable,good
fungoid|flora,plant
fungous|flora,fungal,plant
fungus|flora,plant
funicular|railroad,railway,rope
funnies|cartoon,sketch,strip
funnily|oddly,queerly,strangely
fur|coat,garment,pelt
furnished|appointed,well-appointed
furring|strip,symptom
furze|bush,gorse,shrub
fusilier|infantryman,marcher
futurism|perspective,position,view
gadabout|searcher,seeker
gaff|hook,spar,spike
gaggle|cackle,flock
gainful|paid,profitable
gaiter|legging,shoe,spat
gal|gallon,girl,miss
gallstone|calculus,concretion
galore|abundant,many
galvanism|electricity,therapy
gamekeeper|custodian,keeper,steward
gameness|gimp,lameness
gamesmanship|inequity,unfairness
gamin|guttersnipe,throwaway
gamine|girl,guttersnipe,miss
gamma|letter,navigator
gangplank|footbridge,gangway
gantry|frame,framework
gaping|agape,open
garage|outbuilding,store
garbanzo|chickpea,legume
gardener|employee,horticulturist,nurseryman
gardenia|bush,shrub
garishly|gaudily,tawdrily
garlic|ail,flavoring,seasoning
garlicky|flavoring,seasoning
gasohol|fuel,hydrocarbon
gasoline|fuel,gas,hydrocarbon
gastritis|inflammation,redness
gastrointestinal|canal,channel,duct
gastronomic|cuisine,gastronomical
gastronomical|cuisine,gastronomic
gastronomy|art,cuisine
gasworks|work,workplace
gatecrasher|interloper,intruder,trespasser
gathered|collected,concentrated
gauche|graceless,inelegant,unpolished
gaucheness|crudeness,crudity,impoliteness
gaudily|garishly,tawdrily
gauntlet|challenge,gantlet,glove
gavel|beetle,mallet
gawkiness|awkwardness,clumsiness,ungainliness
gayness|homosexuality,queerness,sex
gaze|look,regard,stare
gazebo|building,edifice,summerhouse
gazetteer|dictionary,journalist,lexicon
gearbox|case,casing,shell
gelatinous|jellylike,thick
geld|castrate,cut,emasculate
gemstone|crystal,gem,stone
gendarme|officer,policeman
gender|sex,sexuality
gene|factor,sequence
generalissimo|commandant,commander
generalist|scholar,student
generally|broadly,loosely,mostly
generosity|generousness,kindness,unselfishness
generously|liberally,munificently
generousness|generosity,kindness
genesis|beginning,book,generation
genially|affably,amiably
genie|jinni,spirit
