aardvark|anteater,placental
antidepressant|medicament,medication,medicine
antigen|matter,substance
antigenic|matter,substance
antihistamine|medicament,medication,medicine
antiknock|compound,leaded
antilogarithm|number,numeral
antimatter|matter,substance
antipasto|appetizer,starter
antiphonal|phrase,responsive
antipodal|antipodean,opposition,region
antipodean|antipodal,region
antiquary|antiquarian,archaist,expert
antiquated|antediluvian,archaic,old
antisocial|asocial,unsociable
antispasmodic|medicament,medication,medicine
antitrust|fair,just
antiviral|medicament,medication,medicine
antonym|opposite,word
anxiety|anxiousness,emotion
anxiously|apprehensively,uneasily
anxiousness|anxiety,disquiet
any|some,whatever,whatsoever
apace|quickly,rapidly,speedily
apartment|flat,housing,lodging
apathetic|indifferent,spiritless,uninterested
aperitif|alcohol,intoxicant
aperture|hole,opening,regulator
aphorism|apothegm,axiom,maxim
aphrodisiac|sexy,stimulant
apiarist|beekeeper,farmer,husbandman
apish|apelike,imitative
apogee|culmination,phase,stage
apolitical|nonpolitical,unpolitical
apologetic|contrite,defensive,self-deprecating
apologia|apology,defense,vindication
apoplexy|attack,stroke
apostatize|renounce,repudiate
apostle|adherent,believer,disciple
apothegm|aphorism,axiom,maxim
appalled|afraid,aghast,shocked
appalling|alarming,experience
apparatus|equipment,setup
appeaser|conciliator,pacifier,peacemaker
appellate|appellant,proceeding,proceedings
appellation|denomination,designation,name
appendectomy|ablation,excision,extirpation
appendicitis|inflammation,redness
appetizer|course,starter
applause|approval,clapping,commendation
applicability|pertinence,relevance,relevancy
applicable|practical,relevant
applicator|applier,device
appositeness|appropriateness,aptness
appositive|limiting,modification
appraiser|critic,judge
appreciative|discriminating,grateful,thankful
apprehensively|anxiously,uneasily
approachable|accessible,comprehensible,reachable
approbation|approval,commendation
appropriation|annexation,incorporation,money
apricot|peach,pink
apron|proscenium,site,stage
apse|niche,recess
aptitude|ability,power
aptly|ably,capably,competently
aquanaut|bather,swimmer
aquaplane|board,plane,skim
aquatics|athletics,sport
aquavit|booze,liquor,spirits
aqueous|liquid,sedimentary
aquiline|crooked,hooked
arabesque|decoration,ornament,ornamentation
arable|cultivable,productive,tillable
arbitrage|investment,merchandise,trade
arbitrager|arbitrageur,businessman
arbitrageur|arbitrager,businessman
arbitrament|arbitration,judgement,judgment
arboretum|facility,installation
arbutus|bush,shrub
archaeology|anthropology,archeology
archaism|expression,formulation
archangel|angel,angelica
archdeacon|clergyman,reverend
archdiocesan|bishopric,diocese,episcopate
archdiocese|bishopric,diocese,episcopate
arched|construction,curved,structure
archeology|anthropology,archaeology
archery|athletics,sport
archetypal|archetypical,first,prototypical
archetypical|archetypal,first,prototypical
archipelago|earth,ground,land
architect|creator,designer
architectonic|science,tectonic
architectonics|science,tectonics
architrave|molding,support
archival|deposit,depository,repository
archives|collection,compendium
arguer|debater,disputant
aria|song,vocal
arid|desiccate,dry,dull
aright|correctly,right
aristocracy|elite,gentry,nobility
aristocrat|leader,patrician
ark|boat,chest
armistice|peace,truce
armorer|artificer,maker,manufacturer
aromatic|fragrant,hydrocarbon,redolent
arraign|accuse,impeach,incriminate
arras|hanging,tapestry
arrears|debt,indebtedness,liability
arresting|impressive,sensational,stunning
arrhythmic|jerky,unsteady
arrogance|haughtiness,hauteur,pride
arrogant|chesty,proud,self-important
arrogation|confiscation,seizure
arsenal|armament,armory,foundry
arson|burning,combustion
artefact|artifact,unit,whole
artichoke|vegetable,veggie
articulated|articulate,jointed
articulateness|fluency,volubility
artifact|artefact,unit,whole
artifice|maneuver,ruse
artilleryman|gunner,man,serviceman
artisan|artificer,craftsman,journeyman
